Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Актеры,Продолжительность,Рейтинг,Количество Оценок
Звёздные войны: Эпизод 1 – Скрытая угроза,Star Wars: Episode I - The Phantom Menace,https://www.kinopoisk.ru/film/6695/,Джордж Лукас,США,1999,фантастика,"Лиам Нисон, Юэн Макгрегор",136.0,7.9,364 847
В поисках Немо,Finding Nemo,https://www.kinopoisk.ru/film/7908/,Эндрю Стэнтон,США,2003,мультфильм,"Альберт Брукс, Эллен ДеДженерес",101.0,7.9,363 958
Зависнуть в Палм-Спрингс,Palm Springs,https://www.kinopoisk.ru/film/1245524/,Макс Барбаков,США,2020,комедия,"Энди Сэмберг, Кристин Милиоти",90.0,7.3,363 388
Грязь,Filth,https://www.kinopoisk.ru/film/467293/,Джон С. Бейрд,Великобритания,2013,криминал,"Джеймс Макэвой, Джейми Белл",93.0,7.6,361 659
Кунг-фу Панда,Kung Fu Panda,https://www.kinopoisk.ru/film/103734/,Марк Осборн,США,2008,мультфильм,"Джек Блэк, Дастин Хоффман",91.0,7.8,359 848
Винни Пух,,https://www.kinopoisk.ru/film/45779/,Фёдор Хитрук,СССР,1969,мультфильм,"Евгений Леонов, Ия Саввина",11.0,8.8,359 380
Непосредственно Каха!,,https://www.kinopoisk.ru/film/1345717/,Виктор Шамиров,Россия,2020,комедия,"Артем Карокозян, Артем Калайджян",110.0,4.4,359 302
Чёрная Вдова,Black Widow,https://www.kinopoisk.ru/film/823956/,Кейт Шортланд,США,2021,фантастика,"Скарлетт Йоханссон, Флоренс Пью",134.0,6.3,358 852
Американская история X,American History X,https://www.kinopoisk.ru/film/382/,Тони Кэй,США,1998,драма,"Эдвард Нортон, Эдвард Ферлонг",119.0,8.3,358 543
Принц Персии: Пески времени,Prince of Persia: The Sands of Time,https://www.kinopoisk.ru/film/195394/,Майк Ньюэлл,США,2010,фэнтези,"Джейк Джилленхол, Джемма Артертон",115.0,7.3,358 457
Логан,Logan,https://www.kinopoisk.ru/film/807682/,Джеймс Мэнголд,США,2017,фантастика,"Хью Джекман, Патрик Стюарт",137.0,7.7,357 520
Великий уравнитель,The Equalizer,https://www.kinopoisk.ru/film/196707/,Антуан Фукуа,США,2014,боевик,"Дензел Вашингтон, Мартон Чокаш",132.0,7.1,357 071
Калашников,,https://www.kinopoisk.ru/film/1188248/,Константин Буслов,Россия,2020,биография,"Юра Борисов, Ольга Лерман",104.0,7.9,354 879
Человек-паук 2,Spider-Man 2,https://www.kinopoisk.ru/film/2898/,Сэм Рэйми,США,2004,фантастика,"Тоби Магуайр, Кирстен Данст",127.0,7.4,354 803
Гринч,The Grinch,https://www.kinopoisk.ru/film/738499/,Ярроу Чейни,Франция,2018,мультфильм,"Бенедикт Камбербэтч, Кэмерон Сили",85.0,7.6,353 975
Троя,Troy,https://www.kinopoisk.ru/film/3442/,Вольфганг Петерсен,США,2004,боевик,"Брэд Питт, Эрик Бана",163.0,8.0,353 894
Мистер и миссис Смит,Mr. & Mrs. Smith,https://www.kinopoisk.ru/film/12090/,Даг Лайман,США,2005,боевик,"Брэд Питт, Анджелина Джоли",120.0,7.5,353 688
Всегда говори «ДА»,Yes Man,https://www.kinopoisk.ru/film/391772/,Пейтон Рид,США,2008,комедия,"Джим Керри, Зои Дешанель",104.0,7.8,352 470
9 рота,,https://www.kinopoisk.ru/film/84674/,Фёдор Бондарчук,Россия,2005,боевик,"Фёдор Бондарчук, Алексей Чадов",139.0,6.8,352 347
Отпетые мошенницы,The Hustle,https://www.kinopoisk.ru/film/428711/,Крис Эддисон,США,2019,комедия,"Энн Хэтэуэй, Ребел Уилсон",93.0,6.5,351 886
Облачный атлас,Cloud Atlas,https://www.kinopoisk.ru/film/464484/,Лана Вачовски,США,2012,фантастика,"Том Хэнкс, Холли Берри",172.0,7.8,351 015
Холодное сердце 2,Frozen II,https://www.kinopoisk.ru/film/903831/,Крис Бак,Япония,2019,мультфильм,"Идина Мензел, Кристен Белл",103.0,7.4,349 781
Оружейный барон,Lord of War,https://www.kinopoisk.ru/film/77439/,Эндрю Никкол,США,2005,драма,"Николас Кейдж, Бриджет Мойнэхэн",122.0,7.7,349 696
Привидение,Ghost,https://www.kinopoisk.ru/film/1991/,Джерри Цукер,США,1990,мелодрама,"Патрик Суэйзи, Деми Мур",127.0,8.2,349 554
Пролетая над гнездом кукушки,One Flew Over the Cuckoo's Nest,https://www.kinopoisk.ru/film/336/,Милош Форман,США,1975,драма,"Джек Николсон, Луиза Флетчер",133.0,8.5,349 021
Сплит,Split,https://www.kinopoisk.ru/film/930534/,М. Найт Шьямалан,США,2017,триллер,"Джеймс Макэвой, Аня Тейлор-Джой",117.0,7.0,348 249
Треугольник печали,Triangle of Sadness,https://www.kinopoisk.ru/film/1348487/,Рубен Эстлунд,Великобритания,2022,драма,"Харрис Дикинсон, Шарлби Дин",147.0,6.5,348 185
Первый мститель: Другая война,Captain America: The Winter Soldier,https://www.kinopoisk.ru/film/676266/,Энтони Руссо,США,2014,фантастика,"Крис Эванс, Скарлетт Йоханссон",136.0,7.3,347 946
Васаби,Wasabi,https://www.kinopoisk.ru/film/14288/,Жерар Кравчик,Франция,2001,боевик,"Жан Рено, Рёко Хиросуэ",94.0,7.7,347 884
Тор 2: Царство тьмы,Thor: The Dark World,https://www.kinopoisk.ru/film/595938/,Алан Тейлор,США,2013,фэнтези,"Крис Хемсворт, Натали Портман",108.0,7.2,347 003
Реальные упыри,What We Do in the Shadows,https://www.kinopoisk.ru/film/818981/,Джемейн Клемент,Новая Зеландия,2014,комедия,"Джемейн Клемент, Тайка Вайтити",85.0,7.5,346 895
Убийство в Восточном экспрессе,Murder on the Orient Express,https://www.kinopoisk.ru/film/817969/,Кеннет Брана,США,2017,детектив,"Кеннет Брана, Пенелопа Крус",114.0,6.9,346 326
Иллюзионист,The Illusionist,https://www.kinopoisk.ru/film/102198/,Нил Бёргер,США,2005,драма,"Эдвард Нортон, Пол Джаматти",110.0,8.0,345 926
Красавица и чудовище,Beauty and the Beast,https://www.kinopoisk.ru/film/540/,Гари Труздейл,США,1991,мультфильм,"Робби Бенсон, Джесси Корти",84.0,8.3,345 649
Бегущий в лабиринте,The Maze Runner,https://www.kinopoisk.ru/film/575613/,Уэс Болл,Великобритания,2014,фантастика,"Дилан О’Брайен, Томас Сэнгстер",113.0,6.8,344 553
Новый Человек-паук,The Amazing Spider-Man,https://www.kinopoisk.ru/film/278217/,Марк Уэбб,США,2012,фантастика,"Эндрю Гарфилд, Эмма Стоун",131.0,6.9,343 515
Лёд 3,,https://www.kinopoisk.ru/film/5275429/,Юрий Хмельницкий,Россия,2024,спорт,"Александр Петров, Мария Аронова",134.0,8.2,341 302
Мы — Миллеры,We're the Millers,https://www.kinopoisk.ru/film/582170/,Роусон Маршалл Тёрбер,США,2013,комедия,"Джейсон Судейкис, Дженнифер Энистон",110.0,7.2,340 266
Прометей,Prometheus,https://www.kinopoisk.ru/film/467099/,Ридли Скотт,Великобритания,2012,фантастика,"Нуми Рапас, Майкл Фассбендер",124.0,7.0,339 766
Тихое место,A Quiet Place,https://www.kinopoisk.ru/film/1044906/,Джон Красински,США,2018,ужасы,"Эмили Блант, Джон Красински",90.0,6.8,339 611
Чёрный лебедь,Black Swan,https://www.kinopoisk.ru/film/278273/,Даррен Аронофски,США,2010,драма,"Натали Портман, Мила Кунис",103.0,7.7,339 031
Последний богатырь: Посланник Тьмы,,https://www.kinopoisk.ru/film/1272246/,Дмитрий Дьяченко,Россия,2021,фэнтези,"Виктор Хориняк, Мила Сивацкая",108.0,6.9,337 945
Бумер,,https://www.kinopoisk.ru/film/57166/,Пётр Буслов,Россия,2003,драма,"Владимир Вдовиченков, Андрей Мерзликин",110.0,7.0,337 303
Дело храбрых,Only the Brave,https://www.kinopoisk.ru/film/965754/,Джозеф Косински,США,2017,драма,"Джош Бролин, Майлз Теллер",134.0,8.2,335 930
Терминатор,The Terminator,https://www.kinopoisk.ru/film/507/,Джеймс Кэмерон,США,1984,фантастика,"Арнольд Шварценеггер, Майкл Бин",108.0,8.0,335 597
Лекарь: Ученик Авиценны,The Physician,https://www.kinopoisk.ru/film/645276/,Филипп Штёльцль,Германия,2013,приключения,"Том Пэйн, Бен Кингсли",155.0,8.0,335 516
Социальная сеть,The Social Network,https://www.kinopoisk.ru/film/427198/,Дэвид Финчер,США,2010,драма,"Джесси Айзенберг, Эндрю Гарфилд",120.0,7.7,335 379
Три богатыря: Ход конем,,https://www.kinopoisk.ru/film/809087/,Константин Феоктистов,Россия,2014,мультфильм,"Сергей Маковецкий, Дмитрий Высоцкий",74.0,5.9,333 730
Механик,The Mechanic,https://www.kinopoisk.ru/film/195615/,Саймон Уэст,США,2010,боевик,"Джейсон Стэйтем, Бен Фостер",93.0,6.8,333 535
Аладдин,Aladdin,https://www.kinopoisk.ru/film/2361/,Рон Клементс,США,1992,мультфильм,"Скотт Венгер, Робин Уильямс",90.0,8.2,333 503
Люди в черном 3,Men in Black 3,https://www.kinopoisk.ru/film/455773/,Барри Зонненфельд,США,2012,фантастика,"Уилл Смит, Джош Бролин",106.0,7.2,331 944
Гадкий я 2,Despicable Me 2,https://www.kinopoisk.ru/film/550910/,Пьер Коффан,США,2013,мультфильм,"Стив Карелл, Кристен Уиг",98.0,7.6,331 317
Шерлок Холмс: Игра теней,Sherlock Holmes: A Game of Shadows,https://www.kinopoisk.ru/film/474953/,Гай Ричи,США,2011,боевик,"Роберт Дауни мл., Джуд Лоу",128.0,7.9,331 257
Меч короля Артура,King Arthur: Legend of the Sword,https://www.kinopoisk.ru/film/824437/,Гай Ричи,Великобритания,2017,фэнтези,"Чарли Ханнэм, Астрид Берже-Фрисби",126.0,7.2,330 778
Эквилибриум,Equilibrium,https://www.kinopoisk.ru/film/309/,Курт Уиммер,США,2002,фантастика,"Кристиан Бэйл, Тэй Диггз",107.0,7.9,330 075
Крепкий орешек,Die Hard,https://www.kinopoisk.ru/film/471/,Джон Мактирнан,США,1988,боевик,"Брюс Уиллис, Алан Рикман",133.0,8.0,329 975
Звёздные войны: Эпизод 4 – Новая надежда,Star Wars,https://www.kinopoisk.ru/film/333/,Джордж Лукас,США,1977,фантастика,"Марк Хэмилл, Харрисон Форд",121.0,8.1,328 534
В джазе только девушки,Some Like It Hot,https://www.kinopoisk.ru/film/356/,Билли Уайлдер,США,1959,мелодрама,"Мэрилин Монро, Тони Кертис",119.0,8.5,327 745
Третий лишний,Ted,https://www.kinopoisk.ru/film/507817/,Сет Макфарлейн,США,2012,комедия,"Марк Уолберг, Мила Кунис",106.0,6.7,327 669
Трасса 60,Interstate 60,https://www.kinopoisk.ru/film/3563/,Боб Гейл,Канада,2001,фантастика,"Джеймс Марсден, Гари Олдман",116.0,8.0,326 376
Мальчик в полосатой пижаме,The Boy in the Striped Pajamas,https://www.kinopoisk.ru/film/281251/,Марк Херман,Великобритания,2008,драма,"Эйса Баттерфилд, Джек Скэнлон",94.0,8.2,325 871
Фантастические твари: Преступления Грин-де-Вальда,Fantastic Beasts: The Crimes of Grindelwald,https://www.kinopoisk.ru/film/843479/,Дэвид Йейтс,Великобритания,2018,фэнтези,"Эдди Редмэйн, Джонни Депп",134.0,6.7,325 237
Малышка на миллион,Million Dollar Baby,https://www.kinopoisk.ru/film/81297/,Клинт Иствуд,США,2004,драма,"Клинт Иствуд, Хилари Суэнк",132.0,8.1,325 074
Человек-муравей,Ant-Man,https://www.kinopoisk.ru/film/195496/,Пейтон Рид,США,2015,фантастика,"Пол Радд, Майкл Дуглас",117.0,7.1,324 134
Револьвер,Revolver,https://www.kinopoisk.ru/film/18973/,Гай Ричи,Великобритания,2005,боевик,"Джейсон Стэйтем, Рэй Лиотта",111.0,7.4,323 696
