Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Продолжительность,Рейтинг,Количество Оценок,Актер 1,Актер 2,Оскар у режиссера,Оскар у актеров
Лара Крофт: Расхитительница гробниц 2 — Колыбель жизни,Lara Croft Tomb Raider: The Cradle of Life,https://www.kinopoisk.ru/film/7988/,Ян де Бонт,США,2003,фэнтези,117.0,6.6,74730,Анджелина Джоли,Джерард Батлер,0,1
Добыча,Prey,https://www.kinopoisk.ru/film/4324674/,Дэн Трахтенберг,США,2022,ужасы,100.0,6.6,74725,Эмбер Мидфандер,Дакота Биверс,0,0
Лего Фильм: Бэтмен,The Lego Batman Movie,https://www.kinopoisk.ru/film/843480/,Крис МакКей,США,2017,мультфильм,104.0,7.1,74718,Уилл Арнетт,Майкл Сера,0,0
Большая игра,State of Play,https://www.kinopoisk.ru/film/261635/,Кевин Макдональд,США,2009,триллер,127.0,7.2,74695,Рассел Кроу,Бен Аффлек,0,3
Сибирский цирюльник,,https://www.kinopoisk.ru/film/16445/,Никита Михалков,Россия,1998,драма,179.0,7.8,74515,Олег Меньшиков,Джулия Ормонд,0,0
21 грамм,21 Grams,https://www.kinopoisk.ru/film/9393/,Алехандро Гонсалес Иньярриту,США,2003,триллер,125.0,7.8,74459,Шон Пенн,Наоми Уоттс,3,7
Тёмное зеркало,Look Away,https://www.kinopoisk.ru/film/1027785/,Асаф Бернштейн,США,2017,ужасы,103.0,5.5,74448,Индиа Айсли,Джейсон Айзекс,0,0
Спуск,The Descent,https://www.kinopoisk.ru/film/103412/,Нил Маршалл,Великобритания,2005,ужасы,99.0,6.8,74404,Шона МакДональд,Натали Джексон Мендоса,0,0
Экстаз,Climax,https://www.kinopoisk.ru/film/1118214/,Гаспар Ноэ,Франция,2018,триллер,97.0,6.9,74324,София Бутелла,Ромен Гийермик,0,0
Донни Браско,Donnie Brasco,https://www.kinopoisk.ru/film/3984/,Майк Ньюэлл,США,1997,драма,127.0,7.8,74314,Аль Пачино,Джонни Депп,0,8
Мерзлая земля,The Frozen Ground,https://www.kinopoisk.ru/film/601483/,Скотт Уокер,США,2011,триллер,105.0,6.5,74231,Николас Кейдж,Джон Кьюсак,0,2
Бунтарка,Stick It,https://www.kinopoisk.ru/film/102339/,Джессика Бендинджер,США,2006,драма,103.0,7.1,74219,Мисси Перегрим,Джефф Бриджес,0,3
Быстрый и мертвый,The Quick and the Dead,https://www.kinopoisk.ru/film/2273/,Сэм Рэйми,США,1995,вестерн,108.0,7.3,74218,Шэрон Стоун,Рассел Кроу,0,4
Колония Дигнидад,Colonia,https://www.kinopoisk.ru/film/842913/,Флориан Галленбергер,Германия,2015,драма,110.0,7.3,74214,Эмма Уотсон,Даниэль Брюль,0,0
Монстр,Monster,https://www.kinopoisk.ru/film/6177/,Пэтти Дженкинс,США,2003,триллер,109.0,7.2,74210,Шарлиз Терон,Кристина Риччи,0,3
Любовь по вызову,"Good Luck to You, Leo Grande",https://www.kinopoisk.ru/film/4413808/,Софи Хайд,Великобритания,2022,драма,97.0,7.2,74200,Эмма Томпсон,Дэрил Маккормак,0,3
Одноклассники 2,Grown Ups 2,https://www.kinopoisk.ru/film/663191/,Деннис Дуган,США,2013,комедия,101.0,6.0,74164,Адам Сэндлер,Кевин Джеймс,0,0
"Ананасовый экспресс: Сижу, курю",Pineapple Express,https://www.kinopoisk.ru/film/279596/,Дэвид Гордон Грин,США,2008,боевик,114.0,6.7,74156,Сет Роген,Джеймс Франко,0,1
Тихий Дон,,https://www.kinopoisk.ru/film/42248/,Сергей Герасимов,СССР,1957,драма,350.0,8.2,74128,Петр Глебов,Элина Быстрицкая,0,0
Приходи на меня посмотреть,,https://www.kinopoisk.ru/film/40955/,Михаил Агранович,Россия,2000,мелодрама,101.0,8.1,74125,Олег Янковский,Ирина Купченко,0,0
Монстры на каникулах: Трансформания,Hotel Transylvania: Transformania,https://www.kinopoisk.ru/film/1243552/,Дерек Драймон,США,2022,мультфильм,87.0,6.4,73919,Брайан Халл,Энди Сэмберг,0,0
Лоракс,The Lorax,https://www.kinopoisk.ru/film/470036/,Крис Рено,США,2012,мультфильм,86.0,6.7,73904,Дэнни ДеВито,Эд Хелмс,0,0
Вавилон,Babel,https://www.kinopoisk.ru/film/102125/,Алехандро Гонсалес Иньярриту,США,2006,драма,143.0,7.6,73874,Брэд Питт,Кейт Бланшетт,3,7
Проект «Адам»,The Adam Project,https://www.kinopoisk.ru/film/714185/,Шон Леви,США,2022,фантастика,106.0,6.6,73829,Райан Рейнольдс,Уокер Скобелл,0,0
Злое,Malignant,https://www.kinopoisk.ru/film/1309482/,Джеймс Ван,США,2021,ужасы,111.0,6.3,73814,Аннабелль Уоллис,Мэдди Хассон,0,0
Мойдодыр,,https://www.kinopoisk.ru/film/260116/,Иван Иванов-Вано,СССР,1954,мультфильм,17.0,7.8,73800,Владимир Грибков,Мария Виноградова,0,0
Судья Дредд,Judge Dredd,https://www.kinopoisk.ru/film/5927/,Дэнни Кэннон,США,1995,фантастика,95.0,6.9,73781,Сильвестр Сталлоне,Арманд Ассанте,0,0
9 1/2 недель,Nine 1/2 Weeks,https://www.kinopoisk.ru/film/12276/,Эдриан Лайн,США,1985,драма,117.0,7.3,73764,Микки Рурк,Ким Бейсингер,1,1
Середина 90-х,Mid90s,https://www.kinopoisk.ru/film/1040690/,Джона Хилл,США,2018,драма,85.0,7.4,73736,Санни Сулджик,Кэтрин Уотерстон,0,0
Цветы войны,Jin ling shi san chai,https://www.kinopoisk.ru/film/464561/,Чжан Имоу,Китай,2011,военный,146.0,7.9,73661,Кристиан Бэйл,Ни Ни,0,0
Герой,,https://www.kinopoisk.ru/film/1115467/,Карен Оганесян,Россия,2019,триллер,115.0,6.4,73654,Александр Петров,Владимир Машков,0,0
Старик Хоттабыч,,https://www.kinopoisk.ru/film/43976/,Геннадий Казанский,СССР,1956,фэнтези,86.0,7.9,73652,Николай Волков,Алексей Литвинов,0,0
Опасный метод,A Dangerous Method,https://www.kinopoisk.ru/film/493194/,Дэвид Кроненберг,Великобритания,2011,триллер,99.0,6.6,73619,Кира Найтли,Вигго Мортенсен,0,4
Пила 4,Saw IV,https://www.kinopoisk.ru/film/271728/,Даррен Линн Боусман,Канада,2007,ужасы,88.0,6.9,73569,Тобин Белл,Костас Мэндилор,0,0
Добро пожаловать в семью: Повар из Неаполя,,https://www.kinopoisk.ru/film/5091058/,Владимир Зинкевич,Россия,2023,комедия,89.0,6.4,73512,Владимир Сычев,Светлана Камынина,0,0
Матильда,,https://www.kinopoisk.ru/film/705382/,Алексей Учитель,Россия,2017,драма,109.0,5.8,73503,Михалина Ольшаньская,Ларс Айдингер,0,0
Полярный экспресс,The Polar Express,https://www.kinopoisk.ru/film/3755/,Роберт Земекис,США,2004,мультфильм,100.0,7.2,73410,Том Хэнкс,Лесли Земекис,1,5
Несносные леди,Mother's Day,https://www.kinopoisk.ru/film/923901/,Гэрри Маршалл,США,2016,драма,119.0,6.4,73398,Дженнифер Энистон,Джулия Робертс,0,2
Я — Сэм,I Am Sam,https://www.kinopoisk.ru/film/706/,Джесси Нельсон,США,2001,драма,132.0,8.0,73313,Шон Пенн,Мишель Пфайффер,0,7
Знаки,Signs,https://www.kinopoisk.ru/film/832/,М. Найт Шьямалан,США,2002,фантастика,106.0,7.0,73306,Мэл Гибсон,Хоакин Феникс,1,3
Прогулка среди могил,A Walk Among the Tombstones,https://www.kinopoisk.ru/film/596274/,Скотт Фрэнк,США,2014,детектив,114.0,6.5,73258,Лиам Нисон,Дэн Стивенс,0,1
Щелкунчик,,https://www.kinopoisk.ru/film/276371/,Борис Степанцев,СССР,1973,мультфильм,27.0,8.0,73227,,,0,0
"Здравствуйте, я ваша тетя!",,https://www.kinopoisk.ru/film/77276/,Виктор Титов,СССР,1975,комедия,98.0,7.9,73223,Александр Калягин,Михаил Козаков,0,0
Стукач,Snitch,https://www.kinopoisk.ru/film/586297/,Рик Роман Во,США,2012,триллер,112.0,6.8,73175,Дуэйн Джонсон,Барри Пеппер,0,0
Парк Юрского периода 3,Jurassic Park III,https://www.kinopoisk.ru/film/2982/,Джо Джонстон,США,2001,фантастика,92.0,6.7,73153,Сэм Нил,Уильям Х. Мэйси,0,0
Лок,Locke,https://www.kinopoisk.ru/film/736206/,Стивен Найт,Великобритания,2013,драма,85.0,6.9,73122,Том Харди,Оливия Колман,0,2
Страсти Дон Жуана,Don Jon,https://www.kinopoisk.ru/film/666731/,Джозеф Гордон-Левитт,США,2013,драма,90.0,6.2,73119,Джозеф Гордон-Левитт,Скарлетт Йоханссон,0,1
Разрушитель,Demolition Man,https://www.kinopoisk.ru/film/4827/,Марко Брамбилла,США,1993,фантастика,115.0,7.5,73113,Сильвестр Сталлоне,Уэсли Снайпс,0,0
Следствие ведут Колобки,,https://www.kinopoisk.ru/film/417755/,Александр Татарский,СССР,1986,мультфильм,21.0,8.2,73112,Леонид Броневой,Алексей Птицын,0,0
Бой с тенью,,https://www.kinopoisk.ru/film/81485/,Алексей Сидоров,Россия,2005,боевик,132.0,6.6,73098,Денис Никифоров,Андрей Панин,0,0
Сто лет тому вперёд,,https://www.kinopoisk.ru/film/1334852/,Александр Андрющенко,Россия,2024,фантастика,142.0,7.6,73100,Даша Верещагина,Марк Эйдельштейн,0,0
Чучело,,https://www.kinopoisk.ru/film/45524/,Ролан Быков,СССР,1983,драма,127.0,7.9,73081,Кристина Орбакайте,Юрий Никулин,0,0
Как я стал русским,,https://www.kinopoisk.ru/film/1111720/,Акаки Сахелашвили,Россия,2018,комедия,100.0,6.7,73055,Дун Чан,Елизавета Кононова,0,0
Любовь и монстры,Love and Monsters,https://www.kinopoisk.ru/film/689489/,Майкл Мэтьюз,Канада,2020,комедия,109.0,6.7,73046,Дилан О’Брайен,Хиро,0,0
"Весна, лето, осень, зима... и снова весна",Bom yeoreum gaeul gyeoul geurigo bom,https://www.kinopoisk.ru/film/47814/,Ким Ки Дук,Корея Южная,2003,драма,103.0,7.9,72988,О Ён-су,Со Джэ-гён,0,0
Жизнь Адель,La vie d'Adèle,https://www.kinopoisk.ru/film/669902/,Абделатиф Кешиш,Франция,2013,драма,179.0,7.0,72934,Леа Сейду,Адель Экзаркопулос,0,0
Сила воли,Race,https://www.kinopoisk.ru/film/823705/,Стивен Хопкинс,Канада,2016,история,134.0,7.4,72910,Стефан Джеймс,Джейсон Судейкис,0,0
Видок,Vidocq,https://www.kinopoisk.ru/film/872/,Питоф,Франция,2001,фантастика,98.0,7.2,72905,Жерар Депардье,Гийом Кане,0,0
Чебурашка. Секрет праздника,,https://www.kinopoisk.ru/film/4297471/,Дарина Шмидт,Россия,2020,короткометражка,6.0,8.1,72824,Анжелика Варум,Леонид Ярмольник,0,0
Джейн Остин,Becoming Jane,https://www.kinopoisk.ru/film/102152/,Джулиан Джаррольд,Великобритания,2006,драма,120.0,7.8,72727,Энн Хэтэуэй,Джеймс Макэвой,0,1
"С любовью, Саймон","Love, Simon",https://www.kinopoisk.ru/film/1008770/,Грег Берланти,США,2018,драма,110.0,7.3,72721,Ник Робинсон,Дженнифер Гарнер,0,0
Умник,Monsieur je-sais-tout,https://www.kinopoisk.ru/film/1093831/,Стефан Аршинар,Франция,2018,драма,99.0,7.8,72706,Арно Дюкре,Макс Бесетт де Малглейв,0,0
Один вдох,,https://www.kinopoisk.ru/film/1112295/,Елена Хазанова,Россия,2020,драма,100.0,7.4,72685,Виктория Исакова,Максим Суханов,0,0
